VariationID	Tx_id
1048019	NM_000094.4
1048022	NM_000094.4
1048027	NM_000526.5
1048034	NM_000094.4
1048036	NM_000094.4
1048049	NM_000094.4
1048059	NM_000094.4
1048065	NM_000213.5
1048071	NM_005562.3
1048080	NM_001351169.2
1048090	NM_001353214.3
1048107	NM_000094.4
1048133	NM_000350.3
1048136	NM_000350.3
1048143	NM_000350.3
1048146	NM_000350.3
1048164	NM_006915.3
1048188	NM_000512.5
1048189	NM_000512.5
1048294	NM_000512.5
1048298	NM_000512.5
1048335	NM_000512.5
1048336	NM_000512.5
1048337	NM_000512.5
1048352	NM_000512.5
1048353	NM_000512.5
1048370	NM_000512.5
1048376	NM_000512.5
1048377	NM_000512.5
1048392	NM_000512.5
1048399	NM_000512.5
1048402	NM_000512.5
1048412	NM_000512.5
1048433	NM_000512.5
1048442	NM_000512.5
1048466	NM_000512.5
1048467	NM_000512.5
1048482	NM_000512.5
1048510	NM_000512.5
1048514	NM_018249.6
1048517	NM_000254.3
1048612	NM_024757.5
1048631	NM_152564.5
1048662	NM_000312.4
1048727	NM_001042492.3
1048732	NM_001042492.3
1048782	NM_001844.5
1048787	NM_000117.3
1048794	NM_004826.4
1048979	NM_000136.3
1049484	NM_003722.5
1050802	NM_000271.5
1062	NM_018122.5
1064411	NM_001083619.3
1064412	NM_001083619.3
1064526	NM_005660.3
1064579	NM_001370100.5
1064580	NM_000062.3
1064581	NM_001370100.5
1064587	NM_018075.5
1064588	NM_001134831.2
1064589	NM_002547.3
1064590	NM_000322.5
1064591	NM_017662.5
1064593	NM_152296.5
1064594	NM_001170629.2
1064596	NM_000144.5
1064598	NM_001080517.3
1064599	NM_024989.4
1064600	NM_176787.5
1064601	NM_000414.4
1064607	NM_000091.5
1064608	NM_022124.6
1064611	NM_015378.4
1064614	NM_001845.6
1064618	NM_005908.4
1064619	NM_002547.3
1064620	NM_005502.4
1064624	NM_002294.3
1064625	NM_005529.7
1064628	NM_207037.2
1064629	NM_001386298.1
1064632	NM_004006.3
1064775	NM_001128126.3
1064784	NM_152641.4
1064794	NM_030973.4
1064844	NM_005862.3
1064846	NM_080632.3
1065112	NM_001128840.3
1065143	NM_000152.5
1065180	NM_004946.3
1065340	NM_004655.4
1065341	NM_001875.5
1065342	NM_001875.5
1065343	NM_023110.3
1065375	NM_000277.3
1065376	NM_000277.3
1065403	NM_016059.5
1065438	NM_014009.4
1065488	NM_006565.4
1065507	NM_014762.4
1065632	NM_001025603.2
1065637	NM_000410.4
1065641	NM_032119.4
1065643	NM_152564.5
1065650	NM_000350.3
1065658	NM_001297.5
1065671	NM_001297.5
1065686	NM_006915.3
1065706	NM_206933.4
1065715	NM_001142800.2
1065719	NM_025114.4
1065733	NM_000350.3
1065760	NM_006343.3
1065778	NM_206933.4
1065880	NM_000516.7
1065881	NM_000516.7
1065900	NM_025074.7
1065904	NM_000455.5
1065905	NM_206933.4
1065906	NM_001384140.1
1065908	NM_012144.4
1065909	NM_000527.5
1065912	NM_133259.4
1065913	NM_000094.4
1065914	NM_022124.6
1065916	NM_003896.4
1065917	NM_000094.4
1065918	NM_000135.4
1065926	NM_004453.4
1065930	NM_015272.5
1065942	NM_014813.3
1065943	NM_001363711.2
1065944	NM_057175.5
1065945	NM_015378.4
1065952	NM_000102.4
1065957	NM_017849.4
1065958	NM_177438.3
1065963	NM_003072.5
1065964	NM_182961.4
1065965	NM_001184.4
1065966	NM_000051.4
1065967	NM_005609.4
1065968	NM_000094.4
1065969	NM_001365536.1
1065970	NM_173660.5
1065971	NM_020975.6
1065974	NM_130849.4
1065975	NM_004100.5
1065976	NM_032043.3
1065978	NM_002890.3
1065979	NM_000352.6
1065985	NM_024577.4
1065987	NM_001481.3
1065988	NM_003000.3
1065991	NM_000352.6
1065993	NM_006096.4
1065995	NM_003227.4
1065997	NM_001142800.2
1065998	NM_001164508.2
1065999	NM_004646.4
1066000	NM_002427.4
1066004	NM_130849.4
1066005	NM_024996.7
1066006	NM_016247.4
1066008	NM_001297.5
1066013	NM_005051.3
1066014	NM_000512.5
1066026	NM_006073.4
1066027	NM_153240.5
1066028	NM_000051.4
1066029	NM_000553.6
1066032	NM_001242957.3
1066033	NM_000350.3
1066034	NM_002485.5
1066037	NM_001164508.2
1066038	NM_003000.3
1066039	NM_001369.3
1066040	NM_022124.6
1066043	NM_201253.3
1066049	NM_000228.3
1066050	NM_001384732.1
1066053	NM_000094.4
1066066	NM_001079802.2
1066069	NM_001177316.2
1066070	NM_016222.4
1066077	NM_206933.4
1066080	NM_001164508.2
1066081	NM_032119.4
1066085	NM_001024630.4
1066086	NM_006397.3
1066087	NM_000214.3
1066089	NM_172107.4
1066107	NM_003640.5
1066108	NM_000135.4
1066109	NM_000069.3
1066112	NM_000397.4
1066115	NM_205861.3
1066117	NM_001127222.2
1066118	NM_025132.4
1066119	NM_000051.4
1066120	NM_001127671.2
1066122	NM_000283.4
1066124	NM_001458.5
1066126	NM_018297.4
1066128	NM_133433.4
1066129	NM_017882.3
1066130	NM_015662.3
1066132	NM_006642.5
1066133	NM_001297.5
1066135	NM_000512.5
1066141	NM_001382391.1
1066143	NM_144596.4
1066144	NM_000093.5
1066147	NM_001844.5
1066152	NM_020944.3
1066154	NM_033305.3
1066157	NM_001369.3
1066158	NM_001134831.2
1066159	NM_001386140.1
1066162	NM_001367561.1
1066163	NM_172107.4
1066166	NM_206933.4
1066167	NM_000441.2
1066169	NM_000057.4
1066171	NM_015909.4
1066174	NM_001113378.2
1066175	NM_001384140.1
1066180	NM_001164508.2
1066182	NM_001042492.3
1066185	NM_000094.4
1066187	NM_033380.3
1066189	NM_001167.4
1066194	NM_033100.4
1066198	NM_001040142.2
1066199	NM_017534.6
1066200	NM_020461.4
1066201	NM_031885.5
1066202	NM_032888.4
1066204	NM_052874.5
1066205	NM_002397.5
1066210	NM_002618.4
1066211	NM_016169.4
1066212	NM_001211.6
1066213	NM_002439.5
1066214	NM_004646.4
1066215	NM_004380.3
1066216	NM_017777.4
1066217	NM_001368882.1
1066218	NM_001378609.3
1066219	NM_001845.6
1066220	NM_012275.3
1066221	NM_001077365.2
1066222	NM_000426.4
1066225	NM_017882.3
1066226	NM_004287.5
1066227	NM_004937.3
1066228	NM_004453.4
1066229	NM_000138.5
1066231	NM_000057.4
1066232	NM_032888.4
1066234	NM_177438.3
1066237	NM_004268.5
1066238	NM_033305.3
1066239	NM_000260.4
1066240	NM_001384140.1
1066241	NM_001369.3
1066243	NM_000094.4
1066246	NM_001851.6
1066256	NM_017565.4
1066257	NM_032119.4
1066258	NM_153252.5
1066259	NM_002857.4
1066260	NM_017739.4
1066261	NM_001164508.2
1066263	NM_004453.4
1066264	NM_147127.5
1066267	NM_001367561.1
1066268	NM_020458.4
1066269	NM_000414.4
1066274	NM_000465.4
1066275	NM_001040716.2
1066276	NM_005373.3
1066278	NM_198904.4
1066279	NM_001142800.2
1066280	NM_000498.3
1066281	NM_032888.4
1066285	NM_000051.4
1066286	NM_001008216.2
1066292	NM_006929.5
1066293	NM_001039141.3
1066294	NM_001289104.2
1066295	NM_000392.5
1066296	NM_002076.4
1066297	NM_022786.3
1066300	NM_000138.5
1066302	NM_025137.4
1066303	NM_000553.6
1066310	NM_000426.4
1066311	NM_144596.4
1066312	NM_000329.3
1066313	NM_004646.4
1066314	NM_001384474.1
1066315	NM_015346.4
1066316	NM_000383.4
1066317	NM_000038.6
1066318	NM_001142800.2
1066321	NM_002633.3
1066323	NM_000501.4
1066324	NM_001165963.4
1066325	NM_004560.4
1066334	NM_000204.5
1066335	NM_030962.4
1066336	NM_001379081.2
1066337	NM_001122764.3
1066339	NM_138694.4
1066346	NM_000057.4
1066351	NM_001077350.3
1066352	NM_004100.5
1066359	NM_000352.6
1066361	NM_001173990.3
1066362	NM_002857.4
1066364	NM_000350.3
1066366	NM_000414.4
1066375	NM_001457.4
1066380	NM_000048.4
1066381	NM_000101.4
1066382	NM_031885.5
1066383	NM_001177316.2
1066385	NM_005677.4
1066386	NM_206933.4
1066387	NM_004415.4
1066388	NM_015922.3
1066389	NM_000094.4
1066390	NM_001130987.2
1066391	NM_170707.4
1066395	NM_018417.6
1066397	NM_032119.4
1066398	NM_023036.6
1066399	NM_032888.4
1066401	NM_000574.5
1066403	NM_000180.4
1066404	NM_206933.4
1066406	NM_004415.4
1066408	NM_203447.4
1066420	NM_201548.5
1066422	NM_018249.6
1066423	NM_000303.3
1066426	NM_177438.3
1066427	NM_144596.4
1066430	NM_032043.3
1066431	NM_001382391.1
1066433	NM_000459.5
1066436	NM_001363711.2
1066440	NM_000426.4
1066457	NM_001458.5
1066461	NM_000350.3
1066462	NM_000498.3
1066465	NM_001042492.3
1066471	NM_016955.4
1066476	NM_033305.3
1066479	NM_000091.5
1066481	NM_021922.3
1066482	NM_014319.5
1066483	NM_201253.3
1066484	NM_000124.4
1066485	NM_138694.4
1066486	NM_000628.5
1066487	NM_000082.4
1066488	NM_001352754.2
1066490	NM_001297.5
1066491	NM_002485.5
1066492	NM_001242896.3
1066493	NM_000135.4
1066505	NM_033305.3
1066506	NM_033305.3
1066512	NM_003482.4
1066513	NM_005045.4
1066514	NM_001164508.2
1066515	NM_015346.4
1066517	NM_000094.4
1066519	NM_001358530.2
1066520	NM_176787.5
1066523	NM_000287.4
1066526	NM_001242896.3
1066528	NM_032888.4
1066530	NM_152443.3
1066531	NM_053274.3
1066542	NM_001277115.2
1066543	NM_004006.3
1066545	NM_020919.4
1066548	NM_000094.4
1066551	NM_020320.5
1066561	NM_000642.3
1066563	NM_001369.3
1066564	NM_001384140.1
1066568	NM_003072.5
1066569	NM_012448.4
1066571	NM_000282.4
1066573	NM_001283009.2
1066583	NM_152564.5
1066584	NM_001252024.2
1066586	NM_017777.4
1066587	NM_021971.4
1066589	NM_000466.3
1066590	NM_001164508.2
1066594	NM_000051.4
1066595	NM_206933.4
1066598	NM_003283.6
1066601	NM_012144.4
1066602	NM_016955.4
1066603	NM_002225.5
1066605	NM_000314.8
1066606	NM_000238.4
1066609	NM_001364905.1
1066612	NM_002485.5
1066614	NM_017739.4
1066615	NM_006017.3
1066617	NM_013339.4
1066618	NM_014140.4
1066619	NM_052874.5
1066620	NM_000091.5
1066621	NM_000283.4
1066634	NM_000016.6
1066641	NM_002878.4
1066642	NM_152641.4
1066643	NM_004360.5
1066646	NM_001283009.2
1066647	NM_000349.3
1066651	NM_005732.4
1066653	NM_033380.3
1066654	NM_004329.3
1066655	NM_001844.5
1066660	NM_000360.4
1066661	NM_022124.6
1066672	NM_000051.4
1066674	NM_003640.5
1066677	NM_000548.5
1066682	NM_000628.5
1066683	NM_000018.4
1066684	NM_000203.5
1066687	NM_000528.4
1066688	NM_024577.4
1066689	NM_001164508.2
1066690	NM_024996.7
1066691	NM_001918.5
1066693	NM_000156.6
1066702	NM_001042492.3
1066705	NM_007194.4
1066709	NM_138387.4
1066710	NM_000023.4
1066711	NM_001008212.2
1066714	NM_001164508.2
1066715	NM_001164508.2
1066717	NM_025114.4
1066718	NM_000444.6
1066720	NM_005562.3
1066721	NM_000159.4
1066722	NM_017777.4
1066724	NM_004415.4
1066725	NM_006623.4
1066726	NM_024996.7
1066728	NM_003227.4
1066729	NM_000191.3
1066733	NM_199355.4
1066742	NM_001368882.1
1066743	NM_022124.6
1066747	NM_001943.5
1066749	NM_000035.4
1066751	NM_006214.4
1066753	NM_004100.5
1066755	NM_006017.3
1066756	NM_001048174.2
1066757	NM_000969.5
1066760	NM_000016.6
1066761	NM_024996.7
1066762	NM_000101.4
1066763	NM_001127222.2
1066764	NM_001875.5
1066765	NM_002435.3
1066766	NM_145207.3
1066767	NM_000158.4
1066769	NM_015166.4
1066779	NM_003384.3
1066780	NM_001384732.1
1066781	NM_012144.4
1066784	NM_000141.5
1066785	NM_000274.4
1066788	NM_000071.3
1066790	NM_001005242.3
1066791	NM_000282.4
1066795	NM_000094.4
1066796	NM_007194.4
1066798	NM_006073.4
1066800	NM_000206.3
1066801	NM_004646.4
1066803	NM_206933.4
1066804	NM_032119.4
1066806	NM_000368.5
1066807	NM_031844.3
1066809	NM_001164508.2
1066810	NM_000287.4
1066813	NM_005045.4
1066829	NM_000553.6
1066830	NM_001365999.1
1066836	NM_000215.4
1066837	NM_000206.3
1066839	NM_000092.5
1066840	NM_000092.5
1066841	NM_001242896.3
1066842	NM_000094.4
1066843	NM_001384474.1
1066845	NM_022124.6
1066846	NM_000023.4
1066847	NM_138694.4
1066848	NM_004453.4
1066852	NM_033305.3
1066864	NM_018062.4
1066865	NM_014444.5
1066866	NM_000350.3
1066867	NM_005989.4
1066868	NM_153717.3
1066878	NM_000155.4
1066883	NM_198904.4
1066885	NM_000350.3
1066886	NM_001242896.3
1066887	NM_004370.6
1066889	NM_000390.4
1066890	NM_000051.4
1066891	NM_000038.6
1066892	NM_000330.4
1066893	NM_015474.4
1066905	NM_001609.4
1066911	NM_182760.4
1066912	NM_012144.4
1066914	NM_020800.3
1066915	NM_000092.5
1066916	NM_001378454.1
1066918	NM_031844.3
1066920	NM_003482.4
1066921	NM_003995.4
1066922	NM_000287.4
1066923	NM_002225.5
1066925	NM_032043.3
1066927	NM_177438.3
1066929	NM_153676.4
1066931	NM_198904.4
1066934	NM_000158.4
1066945	NM_001283009.2
1066947	NM_015311.3
1066948	NM_001110556.2
1066950	NM_000282.4
1066952	NM_015910.7
1066953	NM_004260.4
1066954	NM_000329.3
1066955	NM_005562.3
1066956	NM_001256789.3
1066958	NM_000320.3
1066959	NM_002439.5
1066962	NM_001267550.2
1066963	NM_001142800.2
1066965	NM_001375808.2
1066971	NM_006073.4
1066974	NM_000294.3
1066981	NM_000390.4
1066982	NM_002529.4
1066983	NM_000053.4
1066984	NM_004006.3
1066985	NM_000541.5
1066986	NM_003640.5
1066987	NM_004168.4
1066988	NM_206933.4
1066989	NM_031885.5
1066990	NM_015474.4
1066991	NM_032119.4
1066992	NM_000440.3
1066994	NM_002778.4
1066995	NM_000038.6
1066999	NM_003742.4
1067000	NM_206933.4
1067003	NM_133259.4
1067004	NM_001164508.2
1067006	NM_020800.3
1067008	NM_005732.4
1067016	NM_001127671.2
1067017	NM_002291.3
1067022	NM_000218.3
1067023	NM_000382.3
1067024	NM_001174089.2
1067025	NM_001033855.3
1067026	NM_176824.3
1067028	NM_001127222.2
1067029	NM_003001.5
1067032	NM_002230.4
1067039	NM_006019.4
1067045	NM_005476.7
1067047	NM_004260.4
1067048	NM_020166.5
1067049	NM_130837.3
1067051	NM_000824.5
1067055	NM_000426.4
1067057	NM_172107.4
1067058	NM_005530.3
1067059	NM_002890.3
1067062	NM_000360.4
1067064	NM_003482.4
1067066	NM_206933.4
1067068	NM_001267550.2
1067070	NM_005530.3
1067073	NM_006030.4
1067074	NM_001242896.3
1067075	NM_000317.3
1067090	NM_000537.4
1067091	NM_025074.7
1067092	NM_003922.4
1067093	NM_014236.4
1067095	NM_000153.4
1067098	NM_025215.6
1067099	NM_000337.6
1067100	NM_000368.5
1067101	NM_016247.4
1067105	NM_000387.6
1067106	NM_022124.6
1067108	NM_001384474.1
1067109	NM_000158.4
1067110	NM_001127671.2
1067111	NM_020533.3
1067117	NM_000709.4
1067127	NM_003119.4
1067129	NM_015346.4
1067131	NM_003477.3
1067135	NM_133259.4
1067136	NM_001291415.2
1067139	NM_001042492.3
1067143	NM_001429.4
1067145	NM_032730.5
1067146	NM_001374736.1
1067147	NM_000179.3
1067148	NM_003239.5
1067150	NM_000091.5
1067152	NM_019098.5
1067153	NM_012144.4
1067154	NM_001142800.2
1067155	NM_022124.6
1067156	NM_002485.5
1067170	NM_144596.4
1067171	NM_004247.4
1067176	NM_024996.7
1067178	NM_000191.3
1067180	NM_002427.4
1067184	NM_001875.5
1067185	NM_001283009.2
1067190	NM_014252.4
1067191	NM_012144.4
1067194	NM_020320.5
1067195	NM_001134407.3
1067198	NM_000094.4
1067207	NM_000249.4
1067208	NM_006031.6
1067210	NM_001844.5
1067211	NM_201253.3
1067215	NM_032119.4
1067216	NM_032119.4
1067217	NM_000070.3
1067219	NM_002206.3
1067220	NM_017739.4
1067227	NM_018006.5
1067229	NM_004211.5
1067230	NM_015346.4
1067233	NM_032888.4
1067238	NM_182760.4
1067242	NM_001048174.2
1067254	NM_153240.5
1067255	NM_005591.4
1067259	NM_004380.3
1067261	NM_000069.3
1067263	NM_006772.3
1067268	NM_018006.5
1067272	NM_001384474.1
1067275	NM_000136.3
1067281	NM_001003722.2
1067284	NM_001365536.1
1067286	NM_001252024.2
1067287	NM_001844.5
1067299	NM_001018115.3
1067301	NM_018451.5
1067302	NM_000504.4
1067304	NM_014362.4
1067309	NM_001164508.2
1067310	NM_001369.3
1067311	NM_000092.5
1067313	NM_001142800.2
1067314	NM_000153.4
1067315	NM_000136.3
1067316	NM_004168.4
1067317	NM_000094.4
1067318	NM_022124.6
1067322	NM_152564.5
1067323	NM_000256.3
1067328	NM_000071.3
1067337	NM_001041.4
1067342	NM_001042492.3
1067352	NM_000228.3
1067353	NM_004380.3
1067357	NM_000350.3
1067358	NM_003640.5
1067361	NM_003079.5
1067363	NM_001369.3
1067366	NM_017777.4
1067367	NM_001323289.2
1067368	NM_000310.4
1067369	NM_138413.4
1067372	NM_000091.5
1067383	NM_001365999.1
1067388	NM_003982.4
1067390	NM_001277115.2
1067393	NM_000018.4
1067394	NM_000283.4
1067395	NM_207352.4
1067396	NM_000426.4
1067398	NM_004656.4
1067399	NM_020320.5
1067402	NM_001165963.4
1067403	NM_000218.3
1067404	NM_001853.4
1067405	NM_001127671.2
1067406	NM_025114.4
1067408	NM_000179.3
1067420	NM_007272.3
1067421	NM_001754.5
1067422	NM_002662.5
1067425	NM_001378687.1
1067433	NM_002225.5
1067441	NM_032383.5
1067443	NM_024422.6
1067446	NM_000153.4
1067449	NM_000433.4
1067450	NM_018192.4
1067452	NM_006767.4
1067462	NM_001048174.2
1067469	NM_001352186.2
1067470	NM_001130144.3
1067474	NM_002335.4
1067476	NM_206933.4
1067477	NM_025114.4
1067480	NM_005609.4
1067483	NM_032273.4
1067484	NM_152384.3
1067485	NM_003002.4
1067486	NM_000094.4
1067493	NM_001365999.1
1067494	NM_015272.5
1067496	NM_005373.3
1067497	NM_198253.3
1067504	NM_000540.3
1067506	NM_002485.5
1067508	NM_003919.3
1067511	NM_000070.3
1067512	NM_014049.5
1067513	NM_000303.3
1067515	NM_000501.4
1067516	NM_206933.4
1067517	NM_016373.4
1067518	NM_032383.5
1067519	NM_015072.5
1067524	NM_014339.7
1067537	NM_000094.4
1067538	NM_014425.5
1067540	NM_001458.5
1067544	NM_000289.6
1067546	NM_018972.4
1067549	NM_001378615.1
1067550	NM_138393.4
1067554	NM_033028.5
1067557	NM_032888.4
1067558	NM_001271.4
1067561	NM_000222.3
1067575	NM_025099.6
1067576	NM_006767.4
1067578	NM_194248.3
1067580	NM_001164508.2
1067582	NM_001017420.3
1067584	NM_001267550.2
1067586	NM_000335.5
1067588	NM_152564.5
1067591	NM_001384732.1
1067593	NM_004006.3
1067598	NM_001384474.1
1067600	NM_182760.4
1067613	NM_021800.3
1067614	NM_138477.4
1067615	NM_016327.3
1067618	NM_001077365.2
1067623	NM_000268.4
1067627	NM_198904.4
1067628	NM_003079.5
1067632	NM_003227.4
1067633	NM_004187.5
1067634	NM_020533.3
1067637	NM_017739.4
1067639	NM_001042492.3
1067640	NM_005866.4
1067641	NM_000091.5
1067643	NM_000293.3
1067645	NM_001042432.2
1067657	NM_000444.6
1067660	NM_006035.4
1067661	NM_032119.4
1067662	NM_004260.4
1067663	NM_206933.4
1067664	NM_000352.6
1067665	NM_000535.7
1067668	NM_014795.4
1067669	NM_001134407.3
1067670	NM_001126108.2
1067672	NM_201253.3
1067675	NM_007074.4
1067676	NM_002439.5
1067677	NM_001378454.1
1067680	NM_016247.4
1067682	NM_000548.5
1067690	NM_001371596.2
1067695	NM_001010867.4
1067697	NM_022132.5
1067698	NM_000128.4
1067700	NM_022132.5
1067702	NM_000263.4
1067703	NM_201253.3
1067704	NM_001844.5
1067706	NM_001164508.2
1067708	NM_001003722.2
1067714	NM_001918.5
1067716	NM_133259.4
1067717	NM_001003722.2
1067721	NM_001267550.2
1067722	NM_017841.4
1067726	NM_138694.4
1067727	NM_001122769.3
1067728	NM_021828.5
1067735	NM_022124.6
1067736	NM_152383.5
1067737	NM_000466.3
1067738	NM_001458.5
1067741	NM_006785.4
1067742	NM_000282.4
1067743	NM_020686.6
1067746	NM_001267550.2
1067747	NM_000051.4
1067748	NM_032383.5
1067749	NM_000051.4
1067750	NM_014055.4
1067752	NM_001003722.2
1067753	NM_019098.5
1067754	NM_001242957.3
1067755	NM_001369.3
1067757	NM_000541.5
1067759	NM_001918.5
1067770	NM_001142800.2
1067771	NM_022124.6
1067774	NM_000091.5
1067775	NM_032520.5
1067777	NM_025132.4
1067778	NM_001297.5
1067780	NM_020320.5
1067783	NM_000553.6
1067784	NM_000091.5
